window,merchant_id,best_model,best_mape
2023,M003,SMA(3),9.314317665645715
2023,M004,Holt,6.945045823410102
2023,M005,Holt,7.465935033845435
2023,M006,Holt,8.030057366030478
2023,M007,SES,9.234243259192239
2023,M008,"WMA(1,2,3)",10.5289250098623
2023,M009,Naive,6.1349146658598706
2023,M010,Holt,5.265163722289481
2023,M011,Naive,5.349659494493881
2023,M012,Naive,7.079664090001912
2023,M013,Seasonal Naive,5.684934942067497
2023,M014,SES,7.719689690290925
2023,M015,Holt-Winters,8.51478747047903
2023,M016,Driver Scenario Regression,7.623357896647293
2023,M017,Seasonal Naive,9.98020834560343
2023,M018,Holt,10.36656743277048
2023,M019,Holt,7.542763752015754
2023,M020,Holt,5.132883785762491
2023,M021,Naive,7.812787271108755
2023,M022,"WMA(1,2,3)",7.076328113270174
2023,M023,Holt,6.738786641995986
2023,M024,SES,8.051202770224249
2023,M025,Holt-Winters,9.024100067067222
2023,M026,Holt-Winters,9.162301429330597
2023,M027,Holt-Winters,7.486192828285239
2023,M028,Holt-Winters,8.106301266907357
2023,M029,Holt,7.239395196166583
2023,M030,Driver Scenario Regression,9.290447572719387
2023,M031,Holt,8.386997925354045
2023,M032,Holt-Winters,8.083932358332548
2023,M033,Seasonal Naive,6.50315237998553
2023,M034,Driver Scenario Regression,5.859993456182345
2023,M035,Holt,8.892954207623093
2023,M036,Holt,7.11037996783311
2023,M037,SES,6.319562539783133
2023,M038,Holt,8.76922159634933
2023,M039,Naive,3.489798260815799
2023,M040,Naive,6.878824236547004
2023,M041,SES,6.806196726412418
2023,M042,Holt,8.373705721816318
2023,M043,Holt-Winters,8.347727983823141
2023,M044,SMA(3),5.498698633060763
2023,M045,Holt,8.69145937549333
2023,M046,Holt,7.584859781211338
2023,M047,Naive,8.335217114906941
2023,M048,SES,7.070745297394719
2023,M049,Holt,6.2062607679758495
2023,M050,Naive,5.947820585873004
2024,M001,SARIMA,8.915855874078014
2024,M002,Holt,7.937898734728198
2024,M003,SES,9.25462124910464
2024,M004,Holt,7.448014510798089
2024,M005,SARIMA,6.203433500871499
2024,M006,"WMA(1,2,3)",5.758597101978681
2024,M007,Holt,6.7795821626588815
2024,M008,Holt-Winters,7.777821507279224
2024,M009,Holt,8.543801367089463
2024,M010,Holt,6.567808055238704
2024,M011,SMA(3),9.083251055465565
2024,M012,Holt,6.868710754212971
2024,M013,SES,4.797259680946956
2024,M014,SMA(3),3.6127952133168972
2024,M015,Driver Scenario Regression,8.213543778569168
2024,M016,Holt-Winters,9.74362751206855
2024,M017,SES,7.372536252954603
2024,M018,SES,11.116226204079501
2024,M019,Holt,6.9584561146795645
2024,M020,Holt-Winters,5.457967699252686
2024,M021,Naive,7.176428870396425
2024,M022,Naive,7.041503350170484
2024,M023,Seasonal Naive,6.39581704072467
2024,M024,"WMA(1,2,3)",5.969271082615114
2024,M025,"WMA(1,2,3)",6.69683062505835
2024,M026,Holt,8.923239041035863
2024,M027,Holt,6.4431518090391044
2024,M028,Holt,8.616926022530206
2024,M029,Holt-Winters,5.562219271233327
2024,M030,"WMA(1,2,3)",8.105551516007182
2024,M031,SES,9.647496962084306
2024,M032,SES,8.527694652626012
2024,M033,Holt,10.473804869785619
2024,M034,Naive,6.383851745934012
2024,M035,Holt,10.195802548138232
2024,M036,Holt,6.304806422168623
2024,M037,Holt-Winters,8.60138027216857
2024,M038,Holt,7.810386684647293
2024,M039,Holt-Winters,8.310150973926891
2024,M040,SARIMA,5.028727980888289
2024,M041,Driver Scenario Regression,7.322171195298603
2024,M042,Holt,7.64296210387823
2024,M043,Holt-Winters,7.768290953918176
2024,M044,SMA(3),3.2578786553851504
2024,M045,Holt,10.313242137085616
2024,M046,SMA(3),6.601317853793686
2024,M047,Holt-Winters,6.477272824165061
2024,M048,Holt,8.37896739523613
2024,M049,SMA(3),9.98984012706594
2024,M050,SES,7.646825966299923
